date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-07-20 23:00:18,GoldmanSachs,,3,5,16,"$GS Research shares its framework for assessing the market given the upside and downside risks of the virus in this episode of The Daily Check-In. Watch the full episode here: https://click.gs.com/mzhv",,,,1285348837415149571,https://twitter.com/GoldmanSachs/status/1285348837415149571
2020-07-20 22:00:08,GoldmanSachs,,1,2,12,"What would be the most effective policy solution to address racial economic inequality in America? @YaleSOM Dean @KerwinKCharles discusses with @AllisonNathanGS in a new episode of Top of Mind at Goldman Sachs: https://click.gs.com/mwhx",,@YaleSOM @KerwinKCharles @AllisonNathanGS,,1285333696321597440,https://twitter.com/GoldmanSachs/status/1285333696321597440
2020-07-20 19:15:00,GoldmanSachs,,0,2,10,"Wolfgang Fink, CEO $GS Deutschland, sprach mit Corinne Flick im Convoco-Podcast über die Lehren, die Banken und Unternehmen aus der Krise ziehen und wie Banken ihre soziale Verantwortung leben können. Der Link zum Podcast hier: https://click.gs.com/usn5 #GSEurope",,,#GSEurope,1285292139283349504,https://twitter.com/GoldmanSachs/status/1285292139283349504
2020-07-20 18:38:11,GoldmanSachs,,5,4,18,"How are the markets assessing the upside and downside risks during this unprecedented time? $GS Research’s Dominic Wilson explains in this episode of The Daily Check-In: https://click.gs.com/ydzd",,,,1285282875605233664,https://twitter.com/GoldmanSachs/status/1285282875605233664
2020-07-20 15:00:17,GoldmanSachs,,1,6,22,"WATCH: @blackstone President and COO Jon Gray talks about the reinvention of real estate at our recent firmwide virtual conference: https://click.gs.com/trk5",,@blackstone,,1285228039912161280,https://twitter.com/GoldmanSachs/status/1285228039912161280
2020-07-19 19:00:10,GoldmanSachs,,4,3,14,"What are the key forces driving financial markets amid uncertainty? Jim Esposito, co-head of $GS' Global Markets Division, weighs in: https://click.gs.com/srfl",,,,1284926018382422019,https://twitter.com/GoldmanSachs/status/1284926018382422019
2020-07-19 16:00:19,GoldmanSachs,,2,2,30,"“If you were to assume the industrial revolution was let's say 100 years, we're 20 years into this digital revolution.” - Former @honeywell Chairman and CEO David Cote during a #TalksAtGS with $GS' President and COO John Waldron: https://click.gs.com/vc27",,@honeywell,#TalksAtGS,1284880757505372160,https://twitter.com/GoldmanSachs/status/1284880757505372160
2020-07-19 15:00:09,GoldmanSachs,,0,3,9,"Sustainable #ESG investing requires promises to be turned into performance, says $GS' Steve Strongin: https://click.gs.com/rhmx",,,#ESG,1284865618211155969,https://twitter.com/GoldmanSachs/status/1284865618211155969
2020-07-19 12:30:16,GoldmanSachs,,1,1,12,"Ahead of Chris Wallace’s @POTUS interview on @FoxNewsSunday, hear how writing about President Truman for his new book “Countdown 1945” helped him think about covering President Trump: https://click.gs.com/5sen #TalksAtGS",,@POTUS @FoxNewsSunday,#TalksAtGS,1284827898122244099,https://twitter.com/GoldmanSachs/status/1284827898122244099
2020-07-18 20:00:09,GoldmanSachs,,2,5,22,"""For me, this quarter was about Goldman Sachs demonstrating a lot of grit. It was a very gritty performance."" - Jim Esposito of $GS' Global Markets Division: https://click.gs.com/bjnf",,,,1284578728522244096,https://twitter.com/GoldmanSachs/status/1284578728522244096
