date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-07-20 14:52:35,HarlemCapital,,1,10,32,"We just launched our YouTube channel, be sure to subscribe to stay up to date on our latest interviews and videos ",,,,1285226102294814720,https://twitter.com/HarlemCapital/status/1285226102294814720
2020-07-16 14:16:50,HarlemCapital,,0,0,3,"For those that prefer to read, transcript below",,,,1283767553093971969,https://twitter.com/HarlemCapital/status/1283767553093971969
2020-07-16 14:15:28,HarlemCapital,,2,27,83,"Podcast Alert: We are excited to launch the Harlem Capital More Equity Podcast, be sure to follow to stay up to date. We start episode 1 with @JuliaCollins of Planet FWD, the first Black woman w/ unicorn status who has raised over $450mm in VC funding",,@JuliaCollins,,1283767209505038336,https://twitter.com/HarlemCapital/status/1283767209505038336
2020-07-15 16:02:41,HarlemCapital,,2,6,70,"Excited to release the HCP podcast tomorrow. Our first series will highlight 6 top female founders",,,,1283431801504116736,https://twitter.com/HarlemCapital/status/1283431801504116736
2020-07-14 14:53:24,HarlemCapital,,0,3,5,"5/5) Your implementation of a tactical execution plan will be how you take your product/service to market through different channels such as public relations, digital marketing (e.g. social media, SEO), influencer marketing, and traditional marketing",,,,1283051980676636683,https://twitter.com/HarlemCapital/status/1283051980676636683
2020-07-14 14:53:08,HarlemCapital,,1,4,5,"4/5) Your development of an internal marketing strategy will include the following 5 key steps: 1. Define Your Market 2. Confirm Your Value 3. Segment Your Customers 4. Identify Your Unique Selling Proposition 5. Position Your Brand",,,,1283051911101452290,https://twitter.com/HarlemCapital/status/1283051911101452290
2020-07-14 14:52:40,HarlemCapital,,1,1,1,"3/5) Your “Why” or reason for existence (e.g., purpose, cause, or belief) should live at the core of all your marketing efforts and guide the creation of your brand Mission, Vision, and Values",,,,1283051795003125760,https://twitter.com/HarlemCapital/status/1283051795003125760
2020-07-14 14:52:12,HarlemCapital,,1,1,2,"2/5) We break down the marketing process into three high-level steps: 1. Know Your “Why” 2. Align on a Marketing Strategy 3. Develop a Tactical Plan and Execute",,,,1283051679382896641,https://twitter.com/HarlemCapital/status/1283051679382896641
2020-07-14 14:50:42,HarlemCapital,,2,10,31,"New Blog Post Alert: As a founder launching your startup, you’ll face the challenge of how to market your product or service. We wanted to provide internal and external marketing strategies for early-stage founders. Check out the post below ",,,,1283051299953684491,https://twitter.com/HarlemCapital/status/1283051299953684491
2020-07-13 15:23:11,HarlemCapital,,0,3,10,"Quote 52: ""A ship is safe in harbour, but that's not what ships are for"" John Shedd You were not created to be safe. We all have different circumstances so risk is all relative and you should be mindful of that. The opposite of safe is not risk, it’s vulnerable and exposed",,,,1282697085607911425,https://twitter.com/HarlemCapital/status/1282697085607911425
