date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-07-20 15:22:10,rodneysampson,RuKCMO,0,0,1,"",,,,1285233545749893122,https://twitter.com/rodneysampson/status/1285233545749893122
2020-07-20 05:47:16,rodneysampson,,0,1,26,"#goodtrouble until the very end.",,,#goodtrouble,1285088869084532736,https://twitter.com/rodneysampson/status/1285088869084532736
2020-07-19 02:16:45,rodneysampson,AlonGoren,0,0,2," ",,,,1284673501459357696,https://twitter.com/rodneysampson/status/1284673501459357696
2020-07-19 01:41:49,rodneysampson,,0,3,9,"$26 billion. Remember that number. That’s all.",,,,1284664710349172736,https://twitter.com/rodneysampson/status/1284664710349172736
2020-07-18 23:10:55,rodneysampson,,0,0,0,"The Memorial Service for Civil Rights Legends https://youtu.be/1uvE53exIoc via @YouTube",,@YouTube,,1284626733178724353,https://twitter.com/rodneysampson/status/1284626733178724353
2020-07-18 22:18:10,rodneysampson,,0,4,4,"To do the work of the movement, you must learn the depth of its pain, history, strategies and practices. #Kingonomics",,,#Kingonomics,1284613461176193025,https://twitter.com/rodneysampson/status/1284613461176193025
2020-07-18 22:00:34,rodneysampson,michaelharriot,0,3,5,"If you follow me, read this four times and then @google every part of it so you can this history lesson that your department of education, k-20, wouldn’t teach you even if they knew.",,@Google,,1284609032909717504,https://twitter.com/rodneysampson/status/1284609032909717504
2020-07-18 21:50:09,rodneysampson,jasonlk,0,0,0,"Get them DEIS and racial equity will come.",,,,1284606409594810369,https://twitter.com/rodneysampson/status/1284606409594810369
2020-07-18 21:30:26,rodneysampson,studentactivism,0,0,1,"This is who @repjohnlewis was.",,@repjohnlewis,,1284601447032725508,https://twitter.com/rodneysampson/status/1284601447032725508
2020-07-18 21:11:48,rodneysampson,matthech,0,0,0," ",,,,1284596756991356928,https://twitter.com/rodneysampson/status/1284596756991356928
2020-07-18 20:41:06,rodneysampson,BreeNewsome,0,0,0,"Please be advised.",,,,1284589030349340673,https://twitter.com/rodneysampson/status/1284589030349340673
2020-07-18 19:55:24,rodneysampson,kingonomics,0,0,0,"....how they linger",,,,1284577532046696448,https://twitter.com/rodneysampson/status/1284577532046696448
2020-07-18 18:48:30,rodneysampson,pmarca,0,1,2,"Without an intentional strategy for DEIS, racial equity and @kingonomics, this proposal will utterly destroy any and all economic opportunity for Black communities at scale. Blinded by tokenism and a cohort of Black people who are fine with me the only ones in the ecosysyem.",,@kingonomics,,1284560695229591553,https://twitter.com/rodneysampson/status/1284560695229591553
2020-07-18 13:58:46,rodneysampson,jamalhbryant,0,0,2,"This.",,,,1284487781218222081,https://twitter.com/rodneysampson/status/1284487781218222081
2020-07-18 04:55:52,rodneysampson,,2,3,27,"We lost The Right Reverend CT Vivian and Congressman John Lewis on the same day. Divine, what are you saying to us?",,,,1284351154885885952,https://twitter.com/rodneysampson/status/1284351154885885952
2020-07-18 04:50:58,rodneysampson,ValerieJarrett,0,0,2,"Exactly. Noted.",,,,1284349922645544961,https://twitter.com/rodneysampson/status/1284349922645544961
2020-07-18 04:42:35,rodneysampson,,1,0,2,"Precious memories from @kingonomics, our world’s first and largest (at the time) Black tech, startup, investment &amp; equity crowdfunding conference during the 50th anniversary of the march for jobs and freedom, https://www.flickr.com/photos/kingonomics/albums/72157637388004513 #goodtrouble cc: @mcuban @TheSharkDaymond",,@kingonomics @mcuban @TheSharkDaymond,#goodtrouble,1284347815662170112,https://twitter.com/rodneysampson/status/1284347815662170112
2020-07-18 04:34:33,rodneysampson,,0,0,4,"Congressman John Lewis taught us how to get into #goodtrouble. Here he is accepting one of our first @kingonomics in 2013 during our “Emancipation of Capital” Gala during the 50th Anniversary of The March on Washington for Jobs and Freedom. #ripjohnlewis",,@kingonomics,#goodtrouble #ripjohnlewis,1284345793697255425,https://twitter.com/rodneysampson/status/1284345793697255425
2020-07-18 04:07:20,rodneysampson,,0,2,13,"Our Leader. The Sampsons are saddened by your transition. Your recommendation for med school, endorsement of @kingonomics and collaboration for over a decade will never be forgotten. Rest well @repjohnlewis. The six are gone. The end of an era. I pray the beginning of the next.",,@kingonomics @repjohnlewis,,1284338942163259398,https://twitter.com/rodneysampson/status/1284338942163259398
2020-07-17 12:25:08,rodneysampson,andrewdsouza,0,0,1,"Nice work Andrew. Let’s definitely get this in the @theohubs toolbox",,@theohubs,,1284101831493378050,https://twitter.com/rodneysampson/status/1284101831493378050
2020-07-17 12:17:48,rodneysampson,SecPompeo,0,3,12,"All of you should sue the US Dept. of Ed. in a class action lawsuit for teaching you a false US History. Then, you should sue the PTA for allowing your parents to pass on this ignorance, self hatred & racism to you in the name of values. Imagine who you would be w/o their racism.",,,,1284099984791605248,https://twitter.com/rodneysampson/status/1284099984791605248
2020-07-17 10:26:37,rodneysampson,ajc,0,0,0,"Sweet transition to a giant.",,,,1284072006108024833,https://twitter.com/rodneysampson/status/1284072006108024833
2020-07-16 13:58:26,rodneysampson,,0,3,5,"Invite: @McKinsey projects Black America will lose 4.5m jobs to automation. We must do something about this! Join me today as we make a very big announcement between @theohubs &amp; @VentureBeat at #TransformAI. Here’s a comp ticket to attend online, https://www.eventbrite.com/e/venturebeat-transform-2020-accelerating-your-business-with-ai-tickets-70048863035?discount=OHUBCOMP",,@McKinsey @theohubs @VentureBeat,#TransformAI,1283762921730977792,https://twitter.com/rodneysampson/status/1283762921730977792
