date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-07-20 18:45:31,yosoydlo,hadiyahdotme,1,3,4,"Kudos to our @HBCUvc student investors + @lilcantrelle, @imessien for their work + @batteryxchange_ , @JoinmiHU + ChurchSpace for making the most out of uncertainty #hbcuvc #blackfounders ",,@HBCUvc @lilcantrelle @imessien @batteryxchange_ @JoinmiHU,#hbcuvc #blackfounders,1285284720159395840,https://twitter.com/yosoydlo/status/1285284720159395840
2020-07-20 16:51:57,fritzism,denishakuhlor,0,1,3,"There is more than one way to scale a startup. Hear @Nichelle_McCall along with @grasshopperbank &amp; @Awsmvc share how she got it done. DON’T MISS. #startups #blackfounders #founders",,@Nichelle_McCall @grasshopperbank @Awsmvc,#startups #blackfounders #founders,1285256138913701888,https://twitter.com/fritzism/status/1285256138913701888
2020-07-20 09:55:13,WomenWhoCode,,0,6,5," 10 Movies Directed by Black Women To Watch Read more → http://ow.ly/G37f50AtPhv #blackfounders #blackwomen #womenintech",,,#blackfounders #blackwomen #womenintech,1285151264859463680,https://twitter.com/WomenWhoCode/status/1285151264859463680
2020-07-20 08:24:32,AnthonyWCatt,,1,3,4,"P1/6 Here are the five announcements, opportunities and resources that I saw last week which stood out to me. Worth checking out for those interested in early #Startups, #Africa, #BlackFounders, #Podcasts #SocialEnterprise &amp; #VentureCapital. Have a great week everyone!",,,#Startups #Africa #BlackFounders #Podcasts #SocialEnterprise #VentureCapital,1285128443479416833,https://twitter.com/AnthonyWCatt/status/1285128443479416833
2020-07-20 02:42:01,HstlandHrt,,0,0,0,"The essential funding guide for entrepreneurs of colour https://buff.ly/2ZCrYrx #blackfounders #finance #money #business #woc #poc",,,#blackfounders #finance #money #business #woc #poc,1285042249190060033,https://twitter.com/HstlandHrt/status/1285042249190060033
2020-07-19 19:11:48,JaninasDivas,,0,2,3,"I love witnessing how women are using #tech to advance their businesses and platforms. How are you using tech to grow your career path? #Founders #BlackFounders #WomeninTech #Startups #AfricansinTech #AfricanStartups . https://lnkd.in/g-rvq79 https://lnkd.in/gdCqatp",,,#tech #Founders #BlackFounders #WomeninTech #Startups #AfricansinTech #AfricanStartups,1284928949278007296,https://twitter.com/JaninasDivas/status/1284928949278007296
2020-07-19 15:31:12,MicheleCHeyward,,1,1,2,"Congrats @VisionMill_ @K0NRT15 founders of Food truck platform Goodfynd just hit $100K in revenue. Here’s how it plans to keep growing https://technical.ly/dc/2020/07/17/food-truck-platform-goodfynd-100k-revenue-plans-growing-covid19/ via @TechnicallyDC #blackfounders #seedspotalum",,@VisionMill_ @K0NRT15 @TechnicallyDC,#blackfounders #seedspotalum,1284873430622523392,https://twitter.com/MicheleCHeyward/status/1284873430622523392
2020-07-18 12:00:12,4BlackGirlMagic,,0,0,0,"Effective Design Tips to Freshen Up Your Website - The Frisky https://thefrisky.com/effective-design-tips-to-freshen-up-your-website/ . . . . . #tagfire #36fivebrand #blackgirlmagic #the9project #herosorg #blackgirlmagic36five #instafollow #follow4follow #followme #follow #instamood #blackownedbusiness #blackfounders #instago",,,#tagfire #36fivebrand #blackgirlmagic #the9project #herosorg #blackgirlmagic36five #instafollow #follow4follow #followme #follow #instamood #blackownedbusiness #blackfounders #instago,1284457945078599686,https://twitter.com/4BlackGirlMagic/status/1284457945078599686
2020-07-17 21:32:20,michelleprice,Calendly,0,0,0,"Who KNEW?? #blackfounders ",,,#blackfounders,1284239539603566592,https://twitter.com/michelleprice/status/1284239539603566592
2020-07-17 19:45:08,4BlackGirlMagic,,0,0,0,"What Meditation Means to Black Women it only takes a few minutes and the benefits are endless https://theeverygirl.com/what-meditation-means-to-black-women/ . . . . . . #healthiswealth #blacklivesmatter #blackgirlmagic36five #blackgirlmagic #blackentrepreneurs #blackownedbusiness #blackfounders #blackinvestors #bgm",,,#healthiswealth #blacklivesmatter #blacklivesmatter #blackgirlmagic36five #blackgirlmagic #blackentrepreneurs #blackownedbusiness #blackfounders #blackinvestors #bgm,1284212559579623426,https://twitter.com/4BlackGirlMagic/status/1284212559579623426
