date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-07-25 03:43:34,BroArtiium,,1,3,6,"All my #BlackTech family from beginners to experienced @udemy has some amazing classes for discounted prices! I got two more to help in my Data Analysis career!",,@udemy,#BlackTech,1286869677269045248,https://twitter.com/BroArtiium/status/1286869677269045248
2020-07-23 21:30:00,TOPIT_the_app,,0,2,0,"We know who we think won this challenge but want to hear from you! Who won this @verzuzonline between @SnoopDogg and @DMX #topittheapp #virtualchallenges #blacktech ",,@verzuzonline @SnoopDogg @DMX,#topittheapp #virtualchallenges #blacktech,1286413276298043392,https://twitter.com/TOPIT_the_app/status/1286413276298043392
2020-07-23 21:22:18,McSmog1,,0,4,2,"Are you a Developer? Do you need a conducive and serene environment to work without distraction? . Come over to Mentor and use our space for free from 3/08/2020--10/08/2020 #coworking #hub #coding #blacktech #entrepreneur #kogi #lokoja #incubationhub #CodeNewbie",,,#coworking #hub #coding #blacktech #entrepreneur #kogi #lokoja #incubationhub #CodeNewbie,1286411340421173248,https://twitter.com/McSmog1/status/1286411340421173248
2020-07-22 16:46:12,ZimanaAnalytics,,0,2,0,"""Ultimately it may be worthwhile to try #Spotify out to reenergize or refocus a #marketing campaign impacted by the work from home movement."" -- learn more in this recent @cmswire post #Blacktech #podcasting #Tech #analytics #developers #digitalads",,@cmswire,#Spotify #marketing #Blacktech #podcasting #Tech #analytics #developers #digitalads,1285979470361485312,https://twitter.com/ZimanaAnalytics/status/1285979470361485312
2020-07-22 00:24:01,almightywilltv,,0,2,1,"Just logged off from my 9-5. Time to clock in for myself What do you think about my login screen ? Comment and TAG a friend below. . . . . . #responsivewebdesign #responsivedesign #blacktech #entrepreneur… https://www.instagram.com/p/CC7JNzapVZg/?igshid=1wjvtip8pfa0s",,,#responsivewebdesign #responsivedesign #blacktech #entrepreneur,1285732295660511233,https://twitter.com/almightywilltv/status/1285732295660511233
2020-07-21 15:15:36,4MTurnerTech,4MTurnerTech,0,2,1,"Never got any feedback from professional leagues in handling spectator-less arenas. What y'all think. #BlackTwitter #AfroTech #BlackTechTwitter #BlackTech #BlacksInTech",,,#BlackTwitter #AfroTech #BlackTechTwitter #BlackTech #BlacksInTech,1285594281600843777,https://twitter.com/4MTurnerTech/status/1285594281600843777
2020-07-21 12:44:51,lexithevc,,1,4,12,"Founders: Be respectful and nice to VCs. Investors: Be respectful and nice to Founders. I don't know why this is so hard for some people. Everyone deserves respect- from interns to the CEO. #Founders #investing #startups #VC #femalefounders #blacktech #unpopularopinion",,,#Founders #investing #startups #VC #femalefounders #blacktech #unpopularopinion,1285556343231918082,https://twitter.com/lexithevc/status/1285556343231918082
2020-07-18 20:15:21,BlackBizGroupLA,,0,0,0,"Right on time! @theprofitroom When is the next class? The First Black-Owned Day Trading Company of Its Kind is Teaching Courses on How to Profit From the Stock Market! #blackBusiness #blackTech - https://go.shr.lc/2SVdpMv via @shareaholic",,@theprofitroom @Shareaholic,#blackBusiness #blackTech,1284582552389341184,https://twitter.com/BlackBizGroupLA/status/1284582552389341184
2020-07-18 19:15:14,webuildblack,buildblackson,0,8,5,"Calling all #BlackTechTwitter people in #UX! If you've been thru a bootcamp we need you to tell the people how you made it from point A(school) to B(job) #SpreadTheKnowledge #WeBuildBlack #Blackwomeninstem #blackwomenintech #blackintech #blacktech #womenintech #womenwhocode",,,#BlackTechTwitter #UX #SpreadTheKnowledge #WeBuildBlack #Blackwomeninstem #blackwomenintech #blackintech #blacktech #womenintech #womenwhocode,1284567423711162370,https://twitter.com/webuildblack/status/1284567423711162370
2020-07-17 18:29:10,ABenton,,2,5,18,"Can’t say how exciting it is to start to see people post their certificates of ownership from their streamlytics investments!! WE LOVE TO SEE IT! #investblack #blacktech #blacksintech #blackwallstreet https://www.instagram.com/p/CCwNbb4lRRc/?igshid=c16tdgte9zcb",,,#investblack #blacktech #blacksintech #blackwallstreet,1284193444274077696,https://twitter.com/ABenton/status/1284193444274077696
