date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-07-16 16:31:35,Chase,,27,13,23,"Calling all students: Have a question for @serenawilliams? We’re sitting down with her to talk about planning for the unexpected, lifelong money habits, and knowing your worth. Submit a question in the comments below and tune in on August 20th to see if she answers yours!",,@serenawilliams,,1283801462649188352,https://twitter.com/Chase/status/1283801462649188352
2020-07-14 17:33:04,Chase,,15,8,14,"Financial guru, @winniesun, joined us for a recent Chase Chats Webcast to share tips and advice on how to make the best of these tough money times and come back on the other side. Watch the full episode here: https://bit.ly/3d8NmsU",,@winniesun,,1283092161794150402,https://twitter.com/Chase/status/1283092161794150402
2020-07-14 11:02:01,Chase,,35,30,71,"JPMorgan Chase reports 2Q20 net income of $4.7B and EPS of $1.38 on record revenue of $33.8B – results include credit costs of $10.5B. $JPM",,,,1282993751053541376,https://twitter.com/Chase/status/1282993751053541376
2020-06-28 13:53:12,Chase,,399,220,623,"We know some customers reporting seeing incorrect balances in their checking account overnight. This was caused by a technical issue that delayed updates on what displayed on Chase Mobile & Chase Online. We resolved this issue as of 9AM ET and accounts now show current balances.",,,,1277238622094327809,https://twitter.com/Chase/status/1277238622094327809
2020-06-25 15:11:40,Chase,,97,10,27,"We’re teaming up with family finance expert, @AndreaWoroch, to share creative and budget-friendly ideas for making the most of the summer with your family. Click here to tune in on-demand: https://bit.ly/2V4RyCQ",,@AndreaWoroch,,1276171208950640640,https://twitter.com/Chase/status/1276171208950640640
2020-06-24 18:20:10,Chase,,16,9,19,"In an ever-changing virtual environment, are you wondering if you can still get a mortgage and what the home buying process looks like right now? Register to view our upcoming Chase Chats Webcast on Thursday, June 25th to learn more: https://bit.ly/3fOcTsa",,,,1275856255517687808,https://twitter.com/Chase/status/1275856255517687808
2020-06-23 19:16:08,Chase,,9,6,17,"Chef @AaronSanchez joined us for a recent Chase Chats Webcast to share money-saving tips and meal planning strategies. One key takeaway: reserve and re-purpose your scraps so nothing goes to waste. Click here to watch the full episode: https://bit.ly/3byhaNQ",,@AaronSanchez,,1275507952883924992,https://twitter.com/Chase/status/1275507952883924992
2020-06-22 20:27:10,Chase,,16,9,18,"In an ever-changing virtual environment, are you wondering if you can still get a mortgage and what the home buying process looks like right now? Register to view our upcoming Chase Chat webcast on Thursday, June 25th to learn more: https://bit.ly/3fOcTsa",,,,1275163440160534530,https://twitter.com/Chase/status/1275163440160534530
2020-06-18 22:33:18,Chase,mrapier,3,0,7,"Yes, that's right.",,,,1273745633107722240,https://twitter.com/Chase/status/1273745633107722240
2020-06-16 21:30:13,Chase,,21,13,31,"Class of 2020: you showed us how to triumph during uncertainty—finishing school online and doing graduation walks virtually. Now, join us for a Chase Chats Webcast to hear tips for investing in your financial health and inspiration from fellow grads, too: https://bit.ly/3d5fdJR",,,,1273004980673187840,https://twitter.com/Chase/status/1273004980673187840
2020-06-08 17:59:27,Chase,RSG_9,8,0,6,"Yes, we're owning our part in this. Here are more details on what we're doing to drive real change right now to support the Black community:",,,,1270052837200986113,https://twitter.com/Chase/status/1270052837200986113
2020-06-01 17:30:35,Chase,,74,16,48,"Did you know: #ChaseSapphire cardmembers now have a new way to redeem points. Click here for more details on using Pay Yourself Back℠ on eligible purchases or log into your Ultimate Rewards® account: https://bit.ly/2XQpcgs",,,#ChaseSapphire,1267508857946796035,https://twitter.com/Chase/status/1267508857946796035
2020-05-26 19:30:37,Chase,,28,15,54,"We’re teaming up with financial guru, Winnie Sun, to bring you tips for managing your money during tough times. Click here to tune in live or on-demand: https://bit.ly/3d8NmsU",,,,1265364738403254272,https://twitter.com/Chase/status/1265364738403254272
2020-05-20 17:23:04,Chase,,14,10,24,"Chase Chats Webcasts give you real insights you can use on topics that matter to you now. Click here to tune in live or on-demand: https://bit.ly/363jdbA",,,,1263158313220374528,https://twitter.com/Chase/status/1263158313220374528
2020-05-19 17:00:38,Chase,,14,13,18,"Congrats, class of 2020! In case you missed it, an all-star lineup of speakers and musical guests joined us for #ShowMeYourWalk HBCU Edition and gave their best graduation advice to the class of 2020. Check out the full replay here: http://chase.com/hbcustudent",,,#ShowMeYourWalk,1262790276474527745,https://twitter.com/Chase/status/1262790276474527745
2020-05-18 16:38:48,Chase,JeanieBergen,0,1,3,"Hi! You can watch the full replay with closed captions on",,,,1262422394347630593,https://twitter.com/Chase/status/1262422394347630593
2020-05-17 15:43:20,Chase,polly_ceee,0,1,6,"Right here:",,,,1262046047662112770,https://twitter.com/Chase/status/1262046047662112770
2020-05-17 15:43:04,Chase,Mica4Life,1,0,3,"Yep! They're available here: http://supportblackcolleges.org",,,,1262045984269492225,https://twitter.com/Chase/status/1262045984269492225
2020-05-17 15:42:39,Chase,nightnurse38,1,2,3,"You can get them here: http://supportblackcolleges.org",,,,1262045878455611395,https://twitter.com/Chase/status/1262045878455611395
2020-05-17 15:42:12,Chase,psddluva4evah,0,1,0,"You can get the sweatshirts here: http://supportblackcolleges.org",,,,1262045765834342401,https://twitter.com/Chase/status/1262045765834342401
2020-05-17 15:41:47,Chase,BamaBugg9,1,0,1,"Here you go! Sweatshirts are at",,,,1262045659101908993,https://twitter.com/Chase/status/1262045659101908993
2020-05-17 15:41:24,Chase,teeteesheik,0,1,1,"You can get them here: http://supportblackcolleges.org",,,,1262045563085819904,https://twitter.com/Chase/status/1262045563085819904
2020-05-17 15:41:08,Chase,Tricey014,1,0,0,"You can get them here: http://supportblackcolleges.org",,,,1262045494378762240,https://twitter.com/Chase/status/1262045494378762240
2020-05-17 15:40:45,Chase,psddluva4evah,0,1,0,"They're available at http://supportblackcolleges.org.",,,,1262045398169989128,https://twitter.com/Chase/status/1262045398169989128
2020-05-17 15:39:58,Chase,HRFoodDude,0,0,0,"The shirts are available at http://supportblackcolleges.org.",,,,1262045201910169600,https://twitter.com/Chase/status/1262045201910169600
2020-05-17 15:38:40,Chase,CelyaRaye,0,0,1,"You can get them at http://supportblackcolleges.org.",,,,1262044873164763136,https://twitter.com/Chase/status/1262044873164763136
2020-05-17 15:38:12,Chase,Garyville_Girl,1,0,1,"The sweatshirts are available at http://supportblackcolleges.org.",,,,1262044758333104129,https://twitter.com/Chase/status/1262044758333104129
2020-05-16 19:59:20,Chase,,12,27,113,"We’re so happy to celebrate YOU, Class of 2020! Special shout-out to the speakers and organizations who volunteered their time to make #ShowMeYourWalk HBCU Edition happen.",,,#ShowMeYourWalk,1261748087615258625,https://twitter.com/Chase/status/1261748087615258625
2020-05-16 19:51:31,Chase,,15,65,191,"Thank you @BarackObama for closing out #ShowMeYourWalk HBCU Edition and CONGRATULATIONS to the Class of 2020!",,@BarackObama,#ShowMeYourWalk,1261746119480131585,https://twitter.com/Chase/status/1261746119480131585
2020-05-16 19:43:02,Chase,,3,12,28,".@MellodyHobson shared a special message for the Class of 2020. Tune in now to #ShowMeYourWalk HBCU Edition: https://twitter.com/i/events/1259844733712527360",,@MellodyHobson,#ShowMeYourWalk,1261743981978947585,https://twitter.com/Chase/status/1261743981978947585
2020-05-16 19:41:15,Chase,,3,13,52,"Thanks @IAmSteveHarvey for joining us and sharing your advice for the Class of 2020. Tune in now to #ShowMeYourWalk HBCU Edition: https://twitter.com/i/events/1259844733712527360",,@IAmSteveHarvey,#ShowMeYourWalk,1261743533494591488,https://twitter.com/Chase/status/1261743533494591488
2020-05-16 19:33:44,Chase,willpowerpacker,0,3,2,"Thank you for participating @willpowerpacker ",,@willpowerpacker,,1261741642337452035,https://twitter.com/Chase/status/1261741642337452035
2020-05-16 19:26:26,Chase,,1,10,38,"Our very own @Thasunda shares words of wisdom for graduating seniors. #ShowMeYourWalk HBCU Edition is happening now: https://twitter.com/i/events/1259844733712527360",,@Thasunda,#ShowMeYourWalk,1261739804724731908,https://twitter.com/Chase/status/1261739804724731908
2020-05-16 19:22:10,Chase,,1,18,39,"Great advice, @Common, for the Class of 2020 and beyond. Tune in now to #ShowMeYourWalk HBCU Edition: https://twitter.com/i/events/1259844733712527360",,@common,#ShowMeYourWalk,1261738731087769606,https://twitter.com/Chase/status/1261738731087769606
2020-05-16 19:21:31,Chase,__ItsAlexander,3,18,90,"#ICYMI: Divine 9's tribute for #ShowMeYourWalk!",,,#ICYMI #ShowMeYourWalk,1261738567077900290,https://twitter.com/Chase/status/1261738567077900290
2020-05-16 19:01:02,Chase,,2,16,59,"Congrats on all of your accomplishments Brandon and thanks for sharing your story. Tune in live to #ShowMeYourWalk HBCU Edition: https://twitter.com/i/events/1259844733712527360",,,#ShowMeYourWalk,1261733415621218304,https://twitter.com/Chase/status/1261733415621218304
2020-05-16 18:54:28,Chase,,1,8,31,"Happening now: #ShowMeYourWalk HBCU Edition, a livestream event celebrating the HBCU Class of 2020. Join the celebration to hear from an all-star lineup of speakers and musical guests: https://twitter.com/i/events/1259844733712527360",,,#ShowMeYourWalk,1261731760641060865,https://twitter.com/Chase/status/1261731760641060865
2020-05-16 18:47:55,Chase,zuricheat,0,1,4," ",,,,1261730113508515842,https://twitter.com/Chase/status/1261730113508515842
2020-05-16 18:37:23,Chase,,4,18,76,"We are blown away by @OmariHardwick's poem! Thanks for your inspirational words. Catch #ShowMeYourWalk HBCU Edition, happening now: https://twitter.com/i/events/1259844733712527360",,@OmariHardwick,#ShowMeYourWalk,1261727462825869312,https://twitter.com/Chase/status/1261727462825869312
2020-05-16 18:27:41,Chase,,3,17,62,"We're so proud of the Class of 2020. Thanks Ayanna for sharing words of wisdom to your fellow graduating classmates #ShowMeYourWalk HBCU Edition: https://twitter.com/i/events/1259844733712527360",,,#ShowMeYourWalk,1261725020914692096,https://twitter.com/Chase/status/1261725020914692096
2020-05-16 18:05:31,Chase,,1,12,54,".@Rapsody opened #ShowMeYourWalk HBCU Edition with an incredible performance. Tune in now: https://twitter.com/i/events/1259844733712527360",,@rapsody,#ShowMeYourWalk,1261719443673137155,https://twitter.com/Chase/status/1261719443673137155
2020-05-16 17:51:36,Chase,Call_Me_Pooh,3,20,120,"When you hear #ShowMeYourWalk HBCU Edition is about to start….Tune in at 2PM!",,,#ShowMeYourWalk,1261715941173452801,https://twitter.com/Chase/status/1261715941173452801
2020-05-15 21:00:17,Chase,,3,79,145,"It's time to celebrate YOU! 2020 grads, join us for a livestream featuring an all-star lineup of speakers and musical guests. Tune in for #ShowMeYourWalk HBCU Edition tomorrow from 2PM - 4PM ET on Chase Twitter and YouTube. Set a reminder here: https://bit.ly/2zzSPKd",,,#ShowMeYourWalk,1261401038772293637,https://twitter.com/Chase/status/1261401038772293637
2020-05-14 22:33:29,Chase,lilDevyn_0620,0,0,1,"Yes!! Congratulations ",,,,1261062103978446853,https://twitter.com/Chase/status/1261062103978446853
2020-05-14 18:31:53,Chase,itslondyn,0,2,2,"We’re all excited to celebrate the Class of 2020, so #ShowMeYourWalk HBCU Edition is largely possible thanks to volunteer support from all involved. The event is also raising funds to support HBCUs.",,,#ShowMeYourWalk,1261001302412271616,https://twitter.com/Chase/status/1261001302412271616
2020-05-14 17:00:19,Chase,,4,10,30,"We’re teaming up with Chef @AaronSanchez to bring you tips for creating and sticking to a meal-planning budget. Click here to tune in live or on-demand: https://bit.ly/3byhaNQ",,@AaronSanchez,,1260978258423672832,https://twitter.com/Chase/status/1260978258423672832
2020-05-14 00:00:18,Chase,,5,40,90,"It's time to celebrate YOU! 2020 grads, join us for a livestream featuring an all-star lineup of speakers and musical guests. Tune in here for #ShowMeYourWalk HBCU Edition on May 16th from 2PM - 4PM ET: https://bit.ly/2zzSPKd",,,#ShowMeYourWalk,1260721562979725313,https://twitter.com/Chase/status/1260721562979725313
2020-05-12 18:28:52,Chase,,0,1,5,"",,,,1260275769391153153,https://twitter.com/Chase/status/1260275769391153153
2020-05-11 20:02:34,Chase,,14,23,122,"Our friends @SouthwestAir are hosting Southwest Heart Strong, a virtual concert to raise money for @RedCross, @TeamRubicon and @FeedingAmerica. Tune in on Wednesday, May 13 at 7:00pm CT to enjoy the show. #SouthwestHeartStrong",,@SouthwestAir @RedCross @TeamRubicon @FeedingAmerica,#SouthwestHeartStrong,1259936960115650560,https://twitter.com/Chase/status/1259936960115650560
2020-05-06 17:30:05,Chase,,14,16,36,"How do you start money and other conversations with your kids? Watch our #ChaseChat with researcher/author, @ellengalinsky, for helpful advice, including managing the challenges and opportunities Covid-19 is creating for parents: https://bit.ly/3c9nPiV",,@ellengalinsky,#ChaseChat,1258086647310086144,https://twitter.com/Chase/status/1258086647310086144
2020-05-06 16:30:07,Chase,,14,7,14,"We’re offering assistance for customers who need to delay their mortgage payments. It’s easy to enroll and we’ll work with you as your financial situation changes. See more at http://chase.com/mortgageassistance",,,,1258071556812492800,https://twitter.com/Chase/status/1258071556812492800
2020-05-05 17:14:06,Chase,BarackObama,13,32,63,"We’re honored to have @BarackObama join our #ShowMeYourWalk HBCU Edition for the Class of 2020! Tune in on May 16 at 2PM ET on @Chase Twitter for a live virtual commencement celebrating the graduating class of Historically Black Colleges and Universities.",,@BarackObama @Chase,#ShowMeYourWalk,1257720235249094657,https://twitter.com/Chase/status/1257720235249094657
