date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-05-20 13:02:35,score3ventures,,0,0,1,"Do your employees know how much they matter? #Employees #Managers #TeamGoals #Satisfaction #Jobs #Work #Company #Score3 #VC #Invest #WednesdayWisdom",,,#Employees #Managers #TeamGoals #Satisfaction #Jobs #Work #Company #Score3 #VC #Invest #WednesdayWisdom,1263092758576803840,https://twitter.com/score3ventures/status/1263092758576803840
2020-05-18 13:01:54,score3ventures,,0,0,0,"Happy Monday! Let's get this hustle going! #Score3 #HappyMonday #Hustle #LetsGo #Venture #VC #Entrepreneurs #Entrepreneurship #MondayMotivation #WorkHard #StayHumble",,,#Score3 #HappyMonday #Hustle #LetsGo #Venture #VC #Entrepreneurs #Entrepreneurship #MondayMotivation #WorkHard #StayHumble,1262367810308751366,https://twitter.com/score3ventures/status/1262367810308751366
2020-05-18 12:10:03,score3ventures,,0,0,0,"The 6 Qualities Every Leader Needs During A Crisis @Entrepreneur #Webinar #Leadership #Crisis #Lead #COVID19 #Score3 http://ow.ly/F2B250zBDVF",,@Entrepreneur,#Webinar #Leadership #Crisis #Lead #COVID19 #Score3,1262354763611594752,https://twitter.com/score3ventures/status/1262354763611594752
2020-05-07 13:20:05,score3ventures,,0,0,0,"Mashia Tate of @theknoMECrew answers your questions about her session at the #Score3 #SaaSr2020 Summit #employees #Managers #Leadership #ThrowbackThursday https://youtu.be/N8ND6EH8VRg",,@theknoMECrew,#Score3 #SaaSr2020 #employees #Managers #Leadership #ThrowbackThursday,1258386120443940864,https://twitter.com/score3ventures/status/1258386120443940864
2020-05-06 16:03:12,score3ventures,,0,0,0,"We are seeking talented and #diverse #MBA candidates to join our team of #venturefellows. Check out our website and apply today! https://score3.vc/openings/ #Score3 #VentureFellow #VC #VentureCapital #Investing",,,#diverse #MBA #venturefellows #Score3 #VentureFellow #VC #VentureCapital #Investing,1258064784110518272,https://twitter.com/score3ventures/status/1258064784110518272
2020-05-06 12:01:58,score3ventures,,0,0,0,"We are seeking talented and #diverse #MBA candidates to join our team of #venturefellows. Check out our website and apply today! https://score3.vc/openings/ #Score3 #VentureFellow #VC #VentureCapital #Investing",,,#diverse #MBA #venturefellows #Score3 #VentureFellow #VC #VentureCapital #Investing,1258004074538119168,https://twitter.com/score3ventures/status/1258004074538119168
2020-05-05 22:01:16,score3ventures,,0,0,0,"You have to #embody what you want your #employees to be. What are you doing to be a #great #rolemodel for your #team? #SaaSr2020 #Leadership #Score3 #TipTuesday https://youtu.be/naVKn4buiF8",,,#embody #employees #great #rolemodel #team #SaaSr2020 #Leadership #Score3 #TipTuesday,1257792505837490176,https://twitter.com/score3ventures/status/1257792505837490176
2020-05-05 17:15:09,score3ventures,,0,0,0,"You have to #embody what you want your #employees to be. What are you doing to be a #great #rolemodel for your #team? #SaaSr2020 #Leadership #Score3 #TipTuesday https://youtu.be/naVKn4buiF8",,,#embody #employees #great #rolemodel #team #SaaSr2020 #Leadership #Score3 #TipTuesday,1257720502724038656,https://twitter.com/score3ventures/status/1257720502724038656
2020-05-05 13:02:27,score3ventures,,0,0,0,"You have to #embody what you want your #employees to be. What are you doing to be a #great #rolemodel for your #team? #SaaSr2020 #Leadership #Score3 #TipTuesday https://youtu.be/naVKn4buiF8",,,#embody #employees #great #rolemodel #team #SaaSr2020 #Leadership #Score3 #TipTuesday,1257656907948609542,https://twitter.com/score3ventures/status/1257656907948609542
2020-05-04 22:00:57,score3ventures,,0,0,0,"We still have a few #fellowship openings available! If you are a current #MBA candidate, check out our website to learn more about you can be part of bringing real diversity to the world of #VentureCapital #VC #Score3 #VentureFellowship #Investing https://score3.vc/openings/",,,#fellowship #MBA #VentureCapital #VC #Score3 #VentureFellowship #Investing,1257430038368174086,https://twitter.com/score3ventures/status/1257430038368174086
